"DEPP","CODCOMP","COMP","Commune.pôle","DEP","code_insee","COM","nom_commune","population_mun","PCAP","population_tot"
25,433,25433,"Orgeans-Blanchefontaine",25,64,25064,"Blanchefontaine",3,0,3
55,537,55537,"Douaumont-Vaux",55,164,55164,"Douaumont",4,0,4
4,204,4204,"Senez",4,153,4153,"Le Poil",5,0,5
25,275,25275,"Glère",25,407,25407,"Montursin",6,0,6
4,23,4023,"Bayons",4,11,4011,"Astoin",7,0,7
52,491,52491,"Thonnance-les-Moulins",52,71,52071,"Bressoncourt",8,0,8
52,140,52140,"Colombey les Deux Églises",52,404,52404,"Pratz",9,0,9
65,99,65099,"Bordères-Louron",65,227,65227,"Ilhan",8,1,9
55,530,55530,"Valbois",55,478,55478,"Savonnières-en-Woëvre",12,0,12
4,23,4023,"Bayons",4,82,4082,"Esparron-la-Bâtie",13,0,13
